                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.4319,                0.79647,                 1.1805,                0.75373,                 0.7619,                0.77632,                0.41061,                 1.9313,                0.94659,                 1.4304,               0.000416,               0.000416,               0.000416
                     83,                 1.3633,                0.74924,                 1.1816,                0.77972,                 0.7619,                0.77922,                0.41129,                 1.9004,                0.96653,                 1.4397,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3425,                0.75793,                 1.1634,                0.78452,                 0.7619,                 0.7729,                0.43403,                  1.831,                0.93273,                 1.4213,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.3994,                0.78283,                 1.1908,                0.78057,                 0.7619,                0.77489,                0.43826,                 1.7886,                0.91276,                 1.3987,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.3683,                0.75021,                 1.1689,                0.77171,                0.80952,                0.78731,                0.48241,                  1.671,                0.84181,                 1.3246,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3968,                0.77376,                 1.2041,                0.76866,                0.80952,                0.78959,                 0.4778,                 1.6717,                0.81874,                 1.3163,               0.000317,               0.000317,               0.000317
                     88,                 1.4408,                 0.7707,                 1.2263,                0.78021,                0.80952,                0.78775,                0.46127,                 1.6946,                0.81769,                 1.3246,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4324,                0.80187,                 1.1931,                0.76972,                0.80952,                 0.7884,                0.45517,                 1.6994,                 0.8155,                 1.3221,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.4058,                0.76013,                 1.1654,                0.70832,                0.80952,                0.77917,                0.44309,                 1.7297,                0.83514,                 1.3178,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3631,                0.73428,                 1.2036,                0.76437,                0.80952,                0.78311,                0.44156,                 1.7618,                0.83779,                 1.3353,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3793,                0.72663,                 1.1687,                0.76194,                0.80952,                0.79294,                0.42893,                 1.8622,                0.87612,                 1.3837,               0.000218,               0.000218,               0.000218
                     93,                 1.3397,                0.72339,                 1.1861,                0.77049,                0.80952,                 0.7944,                0.41477,                 1.8943,                0.87164,                 1.4033,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3448,                0.69689,                  1.191,                  0.794,                0.80952,                0.78278,                0.38726,                 1.9266,                0.90072,                 1.4302,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3656,                0.70685,                 1.2002,                0.79379,                0.80952,                0.78329,                0.38662,                 1.9419,                0.90559,                 1.4375,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3339,                0.69777,                 1.2041,                0.78524,                0.80952,                0.76463,                0.38486,                 1.9535,                0.92878,                 1.4395,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3407,                0.70413,                 1.1796,                0.78628,                0.80952,                0.76855,                0.39274,                 1.9484,                0.93633,                 1.4358,               0.000119,               0.000119,               0.000119
                     98,                 1.3207,                0.69976,                 1.1757,                0.79082,                0.80952,                0.77205,                0.38675,                 1.9098,                0.93543,                  1.405,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3143,                0.67866,                  1.181,                0.79254,                0.80952,                0.76818,                0.39728,                 1.8923,                 0.9261,                 1.3961,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.2778,                0.68448,                 1.1594,                0.79105,                0.80952,                0.76727,                0.39269,                 1.8831,                0.91526,                   1.39,               5.96e-05,               5.96e-05,               5.96e-05
